<com.frost.SensorEvent: float[] getSensorData()> -> _SOURCE_
<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)> -> _SOURCE_
<android.location.IGpsStatusListener$Stub$Proxy: java.lang.String getInterfaceDescriptor()> -> _SOURCE_
<android.telephony.PhoneNumberUtils: java.lang.String getStrippedReversed(java.lang.String)> -> _SOURCE_
<com.android.internal.telephony.sip.SipPhone: java.lang.String getVoiceMailNumber()> -> _SOURCE_
<com.google.android.picasasync.PicasaFacade: android.net.Uri getPhotosUri()> -> _SOURCE_
<com.android.internal.telephony.UiccSmsController: boolean updateMessageOnIccEfForSubscriber(int,java.lang.String,int,int,[byte)> -> _SOURCE_
<com.android.internal.telephony.UiccSmsController: boolean disableCellBroadcast(int)> -> _SOURCE_
<com.android.server.accounts.AccountManagerService: void getAccountsByFeatures(android.accounts.IAccountManagerResponse,java.lang.String,[java.lang.String)> -> _SOURCE_
<android.location.LocationManager: boolean registerAntennaInfoListener(java.util.concurrent.Executor,GnssAntennaInfo.Listener)> -> _SOURCE_
<android.location.Geocoder: java.util.List getFromLocation(double,double,int)> -> _SOURCE_
<com.android.internal.telephony.UiccCardApplication: java.lang.String getAid()> -> _SOURCE_
<android.database.sqlite.SQLiteDatabase: android.database.Cursor queryWithFactory(android.database.sqlite.SQLiteDatabase$CursorFactory,boolean,java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String)> -> _SOURCE_
<android.renderscript.Allocation: android.graphics.SurfaceTexture getSurfaceTexture()> -> _SOURCE_
<com.android.internal.policy.impl.keyguard.KeyguardSecurityModel: com.android.internal.policy.impl.keyguard.KeyguardSecurityModel$SecurityMode getBackupSecurityMode(com.android.internal.policy.impl.keyguard.KeyguardSecurityModel$SecurityMode)> -> _SOURCE_
<android.database.sqlite.SQLiteGlobal: java.lang.String getDefaultJournalMode()> -> _SOURCE_
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String)> -> _SOURCE_
<android.telephony.gsm.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent)> -> _SOURCE_
<com.google.android.mms.pdu.EncodedStringValue: int getCharacterSet()> -> _SOURCE_
<com.google.android.mms.ContentType: java.util.ArrayList getVideoTypes()> -> _SOURCE_
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)> -> _SOURCE_
<com.android.server.telecom.TelecomServiceImpl: int getCurrentTtyMode()> -> _SOURCE_
<com.android.exchange.adapter.ContactsSyncAdapter: java.lang.String getSyncKey()> -> _SOURCE_
<android.net.wifi.p2p.WifiP2pManager: void requestDeviceInfo(Channel,DeviceInfoListener)> -> _SOURCE_
<com.android.contacts.detail.PhotoSelectionHandler: long getWritableEntityId()> -> _SOURCE_
<com.google.android.mms.pdu.PduPart: int getCharset()> -> _SOURCE_
<com.google.android.mms.pdu.ReadRecInd: long getDate()> -> _SOURCE_
<com.google.android.mms.pdu.GenericPdu: int getMmsVersion()> -> _SOURCE_
<android.location.LocationManager: android.location.LocationProvider getProvider(java.lang.String)> -> _SOURCE_
<android.location.Country: java.lang.String getCountryIso()> -> _SOURCE_
<com.android.internal.telephony.PhoneBase: java.lang.String getCdmaPrlVersion()> -> _SOURCE_
<com.android.server.LocationManagerService: boolean addGnssMeasurementsListener(android.location.IGnssMeasurementsListener,java.lang.String)> -> _SOURCE_
<android.location.LocationManager: boolean registerGnssNavigationMessageCallback(GnssNavigationMessageEvent.Callback,android.os.Handler)> -> _SOURCE_
<com.android.server.MmsServiceBroker$BinderService: void sendStoredMessage(long,java.lang.String,android.net.Uri,android.os.Bundle,android.app.PendingIntent)> -> _SOURCE_
